Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
70052,2007,01/02/2008,Burlington,64 PUNCHBROOK LN,113750.0,145000.0,0.784482759,Single Family,Single Family,,,,
70570,2007,06/04/2008,Meriden,109 CATHERINE DR,161410.0,223500.0,0.722192394,Single Family,Single Family,,,,POINT (-72.78069 41.5612)
70055,2007,04/21/2008,East Granby,31 NORTH RD,136100.0,170000.0,0.800588235,Single Family,Single Family,01 - Family,,,POINT (-72.77369 41.94603)
70152,2007,05/21/2008,Brookfield,7 TULIP TREE CIR,152820.0,214000.0,0.71411215,Condo,Condo,,,,POINT (-72.97705 41.52491)
70081,2007,03/31/2008,Haddam,NASON RD,154480.0,262000.0,0.589618321,,,28 - Use Assessment,,,
70244,2007,12/31/2007,Milford,17 AUDUBON CLOSE,236460.0,290000.0,0.81537931,Condo,Condo,01 - Family,,,POINT (-73.08704 41.21937)
70032,2007,01/11/2008,Beacon Falls,5 POND VIEW CIR,135110.0,335000.0,0.403313433,Condo,Condo,07 - Change in Property,,,
70083,2007,10/26/2007,New Haven,35 ROCK VIEW TERR,196000.0,35000.0,5.6,Single Family,Single Family,01 - Family,,,
70246,2007,01/22/2008,Stratford,37 CLARENDON ST,135520.0,195700.0,0.692488503,Single Family,Single Family,,,,POINT (-73.14102 41.19828)
70153,2007,07/17/2008,Mansfield,11 LIBERTY DR,167790.0,235000.0,0.714,Condo,Condo,01 - Family,,,POINT (-72.21279 41.73903)
70041,2007,04/29/2008,Canterbury,25 BINGHAM RD,131900.0,155000.0,0.850967742,Single Family,Single Family,14 - Foreclosure,,,
70106,2007,03/03/2008,Brookfield,65 PRANGE ROAD,149510.0,220000.0,0.679590909,Condo,Condo,,,,
70093,2007,11/08/2007,East Hartford,192 BRADLEY ST,141610.0,195000.0,0.726205128,Single Family,Single Family,14 - Foreclosure,,,
70678,2007,06/03/2008,New Haven,115 EAST GRAND AVE #4,51100.0,111000.0,0.46036036,Condo,Condo,,,,POINT (-72.88326 41.30706)
70437,2007,04/21/2008,Stratford,449A HAMMERSTONE LN,148680.0,217000.0,0.68516129,Condo,Condo,,,,
70385,2007,12/05/2007,Bridgeport,149-151 SHELTON ST,102660.0,151850.0,0.676061903,Two Family,Two Family,,,,
70045,2007,11/05/2007,New Milford,10 ALLISON LN,259700.0,426500.0,0.60890973,Single Family,Single Family,,,,
70087,2007,06/09/2008,Thompson,107 LAMBERT RD,116100.0,167500.0,0.693134328,Single Family,Single Family,14 - Foreclosure,,,
70378,2007,06/04/2008,Torrington,67 MARCIA DR,115300.0,235000.0,0.490638298,Single Family,Single Family,,,,
70879,2007,03/25/2008,Bridgeport,2625 PARK AVE #14B,57020.0,149000.0,0.382684564,Condo,Condo,,,,
70186,2007,09/16/2008,Canton,37 TURNBULL RD,418730.0,755000.0,0.554609272,Single Family,Single Family,,,,
70301,2007,09/03/2008,New London,11 ELLIOTT AVE,223650.0,115000.0,1.944782609,Single Family,Single Family,08 - Part Interest,,,
70251,2007,09/23/2008,Clinton,93 GLENWOOD RD,188800.0,315000.0,0.599365079,Single Family,Single Family,,,,POINT (-72.52464 41.29566)
70062,2007,11/13/2007,Branford,1A COMMONS,62800.0,95000.0,0.661052632,Condo,Condo,,,,
70471,2007,09/02/2008,Branford,79 ORCHARD HEIGHTS,101600.0,180000.0,0.564444444,Condo,Condo,,,,
70100,2007,01/24/2008,Bloomfield,PARK AVE.,24500.0,40000.0,0.6125,,,,,,
70177,2007,05/22/2008,New London,19 HAWTHORNE DR. #162,124600.0,210000.0,0.593333333,Condo,Condo,,,,
70285,2007,07/02/2008,East Lyme,58 STONE RANCH RD,321440.0,300000.0,1.071466667,Single Family,Single Family,,,,POINT (-72.26149 41.35801)
71065,2007,04/30/2008,Bridgeport,93 SANFORD ST,116390.0,145000.0,0.802689655,Three Family,Three Family,14 - Foreclosure,,,
70307,2007,02/15/2008,Milford,22 ARGYLE RD,211090.0,298000.0,0.708355705,Single Family,Single Family,,,,
71035,2007,08/22/2008,Norwalk,3 CLIFFVIEW DR,326550.0,642000.0,0.50864486,Single Family,Single Family,,,,
70250,2007,09/18/2008,Clinton,108 LONG HILL RD,251900.0,110000.0,2.29,Single Family,Single Family,08 - Part Interest,,,
70284,2007,11/14/2007,Bridgeport,4699 MAIN ST #2-A6,118370.0,135000.0,0.876814815,,,,,,POINT (-73.21831 41.22355)
70434,2007,08/08/2008,Branford,624-646 WEST MAIN ST,608900.0,1900000.0,0.320473684,,,,,,
70171,2007,06/26/2008,Monroe,11 PENNY ROYAL LN,480410.0,775000.0,0.619883871,Single Family,Single Family,,,,
70765,2007,02/29/2008,Bridgeport,230 TRUMBULL AVE.,106340.0,99100.0,1.073057518,Single Family,Single Family,14 - Foreclosure,COMMITTE DEED,,
70743,2007,09/11/2008,Manchester,588G EAST CENTER ST,106100.0,155000.0,0.684516129,Condo,Condo,,,,
70126,2007,11/09/2007,New Haven,15 HOLMES PL,152040.0,240000.0,0.6335,Single Family,Single Family,15 - Government Agency,,,
70196,2007,12/19/2007,Stratford,523 BARNUM TERR EXT,134260.0,84000.0,1.598333333,Single Family,Single Family,08 - Part Interest,,,
70070,2007,07/08/2008,Thomaston,310 SOUTH MAIN ST,491320.0,1500000.0,0.327546667,,,,,,
70724,2007,08/21/2008,Hamden,4424 WHITNEY AVE,195440.0,165000.0,1.184484848,Single Family,Single Family,14 - Foreclosure,,,
